iter	Passed	Remaining
0	58	29402
1	62	15503
2	62	10417
3	63	7845
4	64	6432
5	65	5370
6	65	4640
7	68	4218
8	71	3893
9	73	3607
10	86	3835
11	86	3532
12	90	3377
13	92	3215
14	95	3082
15	98	2967
16	102	2903
17	103	2784
18	107	2724
19	110	2653
20	110	2531
21	111	2415
22	113	2353
23	116	2319
24	119	2274
25	122	2227
26	124	2179
27	127	2141
28	129	2097
29	131	2058
30	132	2010
31	135	1979
32	137	1951
33	140	1922
34	142	1894
35	144	1863
36	145	1815
37	147	1795
38	149	1770
39	152	1749
40	154	1730
41	157	1714
42	159	1698
43	161	1677
44	164	1658
45	165	1638
46	167	1618
47	170	1603
48	172	1587
49	174	1573
50	177	1561
51	179	1546
52	181	1530
53	183	1515
54	185	1503
55	188	1491
56	190	1477
57	192	1464
58	194	1453
59	196	1441
60	198	1431
61	200	1419
62	203	1408
63	205	1397
64	207	1387
65	209	1377
66	211	1367
67	214	1360
68	216	1351
69	218	1343
70	221	1336
71	223	1326
72	225	1318
73	227	1309
74	229	1300
75	231	1292
76	233	1284
77	235	1276
78	238	1269
79	240	1261
80	242	1254
81	244	1246
82	246	1238
83	248	1230
84	250	1224
85	253	1219
86	255	1214
87	258	1209
88	259	1199
89	261	1193
90	264	1187
91	265	1179
92	268	1173
93	270	1167
94	272	1161
95	274	1157
96	277	1151
97	279	1145
98	281	1139
99	283	1133
100	285	1126
101	287	1120
102	289	1115
103	289	1103
104	292	1100
105	294	1096
106	297	1092
107	299	1086
108	301	1081
109	303	1076
110	305	1071
111	308	1067
112	310	1063
113	312	1058
114	314	1053
115	316	1047
116	318	1043
117	320	1038
118	322	1033
119	325	1029
120	327	1025
121	329	1021
122	331	1016
123	333	1011
124	335	1006
125	337	1001
126	339	997
127	341	992
128	343	988
129	346	985
130	348	981
131	350	977
132	352	972
133	354	969
134	356	964
135	358	960
136	360	956
137	363	954
138	365	950
139	368	946
140	370	942
141	372	938
142	374	934
143	376	931
144	378	927
145	380	923
146	383	920
147	385	916
148	387	913
149	389	909
150	391	905
151	394	902
152	396	898
153	398	894
154	400	890
155	402	886
156	404	884
157	407	881
158	409	878
159	412	876
160	414	873
161	416	870
162	419	866
163	421	862
164	422	857
165	424	854
166	427	852
167	430	850
168	432	847
169	434	843
170	436	840
171	439	837
172	441	834
173	442	829
174	445	827
175	447	824
176	450	821
177	452	817
178	454	814
179	456	811
180	457	806
181	459	803
182	461	800
183	464	796
184	466	793
185	468	790
186	470	787
187	472	783
188	474	780
189	476	777
190	478	774
191	481	771
192	483	768
193	485	766
194	487	762
195	489	759
196	492	756
197	494	753
