Model,Cohort,AUROC,CI low,CI high
CA125 rule,West CC,0.6935063465653168,0.6051361740882297,0.7846160446160447
CA125 rule,West,0.6418752174004487,0.597366729094102,0.6844196931306304
CA125 rule,Japan,0.7808668677746726,0.6851870603227151,0.8738083475373744
ROMA,West CC,0.9650687996007402,0.9304096605002067,0.9915144685535178
ROMA,West,0.8864793193682068,0.8480360603720867,0.9207059706989936
ROMA,Japan,0.7986626092930577,0.6659970605751386,0.907796706169397
CPH-I,West CC,0.9293693433423177,0.87474162877222,0.9728189059714795
CPH-I,West,0.8683822095325365,0.8276502443928078,0.9050280563519765
CPH-I,Japan,0.9210764449035105,0.8516292770603116,0.9732700782333135
Raw LR,West CC,0.9407658943409597,0.8871455338359047,0.9828177846146939
Raw LR,West,0.9358423373230055,0.9075701171726662,0.9609826870631142
Raw LR,Japan,0.8055362542032174,0.6660619557099918,0.9258284457478007
Scorecard,West CC,0.9707792860781832,0.9359592188717035,0.9951659226190477
Scorecard,West,0.9293680018707016,0.9017687303981664,0.9548164481511907
Scorecard,Japan,0.8448741998845303,0.7135151222651223,0.9490545564954131
