Cohort,Model,Brier,REL,RES,UNC,Cal slope,Cal intercept,CITL,ECI
West China,Scorecard (recalibrated),0.097,0.0043,0.1579,0.25,5.145,-2.548,-0.0,0.1283
West China,Scorecard (frozen map),0.1158,0.0238,0.158,0.25,6.386,-2.932,-0.091,0.1908
West China,Raw LR,0.1112,0.0284,0.1674,0.25,6.162,-2.739,-0.053,0.1975
West China,ROMA,0.2086,0.0909,0.1331,0.25,5.119,-1.186,-0.947,0.1768
West China,CPH-I,0.2585,0.127,0.1158,0.25,5.644,-0.843,-1.419,0.1097
West China,XGBoost,0.128,0.0113,0.132,0.25,4.051,-1.643,-0.265,0.058
Japan,Scorecard (recalibrated),0.0692,0.0102,0.071,0.1293,3.622,-2.502,0.0,0.1634
Japan,Scorecard (frozen map),0.0774,0.0184,0.071,0.1293,3.595,-2.428,0.098,0.1755
Japan,Raw LR,0.1146,0.0632,0.0765,0.1293,2.933,-2.624,0.838,0.2938
Japan,ROMA,0.102,0.0199,0.0446,0.1293,2.812,-1.961,-0.863,0.0706
Japan,CPH-I,0.1211,0.0209,0.0252,0.1293,2.209,-1.809,-1.733,0.0308
Japan,XGBoost,0.0906,0.0099,0.0498,0.1293,2.912,-2.315,-0.089,0.1413
