Cohort,Noise,Scorecard,Raw LR,ROMA,CPH-I,CA125 rule,XGBoost,CatBoost,Random Forest,Scorecard SD,Raw LR SD,ROMA SD,CPH-I SD,CA125 rule SD,XGBoost SD,CatBoost SD,Random Forest SD
Training (in-sample),0%,0.9119,0.8971,0.9122,0.9116,0.727,1.0,0.9911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Training (in-sample),5%,0.9104,0.8969,0.9109,0.9113,0.7282,0.9748,0.9705,0.9833,0.0036,0.0005,0.0025,0.001,0.0034,0.0047,0.0033,0.0036
Training (in-sample),10%,0.9072,0.8966,0.9075,0.9107,0.7295,0.9572,0.9555,0.9652,0.0054,0.0009,0.005,0.0022,0.0058,0.0063,0.0061,0.0062
Training (in-sample),15%,0.9051,0.8963,0.9034,0.9094,0.7293,0.9435,0.944,0.9508,0.006,0.0016,0.0071,0.0032,0.0075,0.0082,0.0075,0.0075
Training (in-sample),20%,0.9022,0.8963,0.8999,0.9079,0.7311,0.9338,0.9342,0.9389,0.0062,0.0019,0.0083,0.0045,0.0095,0.0096,0.0094,0.009
Training (in-sample),25%,0.9001,0.8953,0.8946,0.9053,0.731,0.9218,0.9255,0.9295,0.0073,0.0022,0.0094,0.0052,0.01,0.0098,0.0097,0.0102
Training (in-sample),30%,0.896,0.8944,0.8891,0.901,0.732,0.9094,0.9145,0.9169,0.0087,0.0031,0.0108,0.0071,0.0107,0.0122,0.0116,0.0104
West China,0%,0.9292,0.9358,0.8864,0.8684,0.6416,0.8867,0.8786,0.8787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West China,5%,0.9277,0.9358,0.8644,0.868,0.6421,0.8828,0.8809,0.8825,0.0015,0.0005,0.0083,0.0016,0.0052,0.0051,0.0029,0.0047
West China,10%,0.9191,0.9358,0.8467,0.868,0.641,0.8707,0.877,0.8785,0.0058,0.0011,0.0108,0.0027,0.0055,0.0078,0.0054,0.0065
West China,15%,0.9078,0.9355,0.8344,0.8658,0.6408,0.8502,0.8635,0.8661,0.0075,0.0014,0.0106,0.0042,0.0081,0.0102,0.0094,0.0092
West China,20%,0.9008,0.9351,0.826,0.8639,0.6411,0.8322,0.8491,0.8529,0.008,0.0018,0.0123,0.005,0.0083,0.0158,0.0142,0.0127
West China,25%,0.8958,0.9341,0.8202,0.862,0.6453,0.8158,0.8366,0.8395,0.01,0.0022,0.0133,0.0064,0.0093,0.0163,0.0149,0.0142
West China,30%,0.8892,0.9332,0.8109,0.856,0.6474,0.7999,0.826,0.8246,0.0105,0.003,0.0144,0.0094,0.0123,0.0172,0.0159,0.0156
Japan,0%,0.843,0.8036,0.7967,0.9204,0.7815,0.734,0.7488,0.7923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,5%,0.8405,0.8028,0.7972,0.9185,0.782,0.7371,0.7564,0.8069,0.0117,0.0034,0.0077,0.0052,0.0042,0.0191,0.0114,0.021
Japan,10%,0.8363,0.7991,0.7961,0.9158,0.7862,0.7329,0.7565,0.7983,0.0165,0.0059,0.0142,0.0101,0.0102,0.027,0.023,0.0346
Japan,15%,0.8288,0.7947,0.7919,0.9082,0.7875,0.7254,0.753,0.7911,0.0195,0.0093,0.0194,0.0143,0.0139,0.032,0.0257,0.0321
Japan,20%,0.8189,0.7899,0.7859,0.8985,0.7822,0.7177,0.7485,0.7851,0.0222,0.0103,0.0244,0.0176,0.0196,0.0329,0.0324,0.0371
Japan,25%,0.8101,0.7828,0.7782,0.8858,0.7802,0.7068,0.7393,0.7692,0.0231,0.0163,0.0265,0.0236,0.0186,0.0403,0.0367,0.0412
Japan,30%,0.8057,0.7763,0.7616,0.8608,0.774,0.687,0.7325,0.7643,0.0272,0.0173,0.0346,0.0299,0.0246,0.0481,0.0433,0.0506
