Model,Weight w,Optimal threshold,Missed per 100 women,Unnecessary per 100 women,Net harm H
Scorecard (recalibrated),1,0.436,8.4,3.7,12.1
Scorecard (recalibrated),2,0.436,8.4,3.7,20.5
Scorecard (recalibrated),5,0.104,2.9,16.1,30.5
Scorecard (recalibrated),10,0.104,2.9,16.1,45.0
Scorecard (recalibrated),20,0.01,0.3,46.3,51.6
Scorecard (recalibrated),50,0.01,0.3,46.3,59.5
Raw LR,1,0.387,5.8,3.9,9.7
Raw LR,2,0.342,4.7,6.1,15.5
Raw LR,5,0.332,4.5,6.8,29.2
Raw LR,10,0.184,0.8,31.8,39.7
Raw LR,20,0.134,0.0,46.6,46.6
Raw LR,50,0.134,0.0,46.6,46.6
ROMA,1,0.104,9.2,5.8,15.0
ROMA,2,0.099,6.8,9.2,22.9
ROMA,5,0.099,6.8,9.2,43.4
ROMA,10,0.03,0.0,45.8,45.8
ROMA,20,0.03,0.0,45.8,45.8
ROMA,50,0.03,0.0,45.8,45.8
CPH-I,1,0.074,12.6,2.4,15.0
CPH-I,2,0.065,11.8,3.7,27.4
CPH-I,5,0.015,3.9,31.6,51.3
CPH-I,10,0.01,2.4,41.1,64.7
CPH-I,20,0.01,2.4,41.1,88.4
CPH-I,50,0.01,2.4,41.1,159.5
XGBoost,1,0.372,9.7,5.0,14.7
XGBoost,2,0.372,9.7,5.0,24.5
XGBoost,5,0.025,4.5,22.4,44.7
XGBoost,10,0.02,4.2,23.9,66.1
XGBoost,20,0.01,3.7,31.3,105.0
XGBoost,50,0.01,3.7,31.3,215.5
Treat none (reference),1,,49.5,0.0,49.5
Treat all (reference),1,,0.0,50.5,50.5
Treat none (reference),2,,49.5,0.0,98.9
Treat all (reference),2,,0.0,50.5,50.5
Treat none (reference),5,,49.5,0.0,247.4
Treat all (reference),5,,0.0,50.5,50.5
Treat none (reference),10,,49.5,0.0,494.7
Treat all (reference),10,,0.0,50.5,50.5
Treat none (reference),20,,49.5,0.0,989.5
Treat all (reference),20,,0.0,50.5,50.5
Treat none (reference),50,,49.5,0.0,2473.7
Treat all (reference),50,,0.0,50.5,50.5
