n,Model,External AUROC mean,External AUROC SD
60,Scorecard,0.9013,0.0292
60,Raw LR,0.925,0.0079
60,XGBoost,0.8472,0.0741
60,CatBoost,0.8876,0.0366
60,Random Forest,0.8991,0.0282
90,Scorecard,0.9094,0.0239
90,Raw LR,0.9303,0.0023
90,XGBoost,0.8752,0.039
90,CatBoost,0.8848,0.0273
90,Random Forest,0.8948,0.0285
120,Scorecard,0.9108,0.026
120,Raw LR,0.9313,0.0026
120,XGBoost,0.8698,0.0355
120,CatBoost,0.8888,0.0226
120,Random Forest,0.8958,0.0245
180,Scorecard,0.9163,0.0141
180,Raw LR,0.9324,0.0018
180,XGBoost,0.8881,0.0213
180,CatBoost,0.8904,0.0157
180,Random Forest,0.9002,0.0163
240,Scorecard,0.918,0.0073
240,Raw LR,0.9343,0.0011
240,XGBoost,0.8834,0.0122
240,CatBoost,0.8794,0.0088
240,Random Forest,0.887,0.0129
349,Scorecard,0.9292,0.0
349,Raw LR,0.9358,0.0
349,XGBoost,0.8867,0.0
349,CatBoost,0.8778,0.0008
349,Random Forest,0.8874,0.0044
