n,Model,CV AUROC mean,CV AUROC SD
60,Scorecard,0.8777,0.0933
60,Raw LR,0.885,0.1101
60,XGBoost,0.8394,0.1312
60,CatBoost,0.8732,0.1083
60,Random Forest,0.8593,0.1204
90,Scorecard,0.8863,0.0796
90,Raw LR,0.8754,0.0791
90,XGBoost,0.8711,0.0994
90,CatBoost,0.8813,0.0935
90,Random Forest,0.8797,0.0975
120,Scorecard,0.8768,0.0746
120,Raw LR,0.8759,0.0729
120,XGBoost,0.8633,0.0887
120,CatBoost,0.8715,0.0751
120,Random Forest,0.8673,0.0769
180,Scorecard,0.895,0.0592
180,Raw LR,0.8778,0.0578
180,XGBoost,0.8657,0.0721
180,CatBoost,0.8845,0.0672
180,Random Forest,0.8703,0.0765
240,Scorecard,0.897,0.045
240,Raw LR,0.8849,0.0454
240,XGBoost,0.8677,0.056
240,CatBoost,0.887,0.0533
240,Random Forest,0.8779,0.0588
349,Scorecard,0.9089,0.0445
349,Raw LR,0.8933,0.0393
349,XGBoost,0.8757,0.0631
349,CatBoost,0.8977,0.0553
349,Random Forest,0.8925,0.047
