Cohort,Scenario,Noise,Scorecard,Raw LR,ROMA,CPH-I,CA125 rule,XGBoost,CatBoost,Random Forest
West China,CA125 only,0.0,0.9291749778368795,0.9357546542553193,0.8864417109929081,0.8683787677304963,0.6416223404255321,0.8867464539007095,0.8786153590425534,0.8786846187943259
West China,CA125 only,0.1,0.9279471409574468,0.9356842863475177,0.8865419991134752,0.8682000775709219,0.6407912234042553,0.880823359929078,0.8768248559397164,0.87455078125
West China,CA125 only,0.2,0.9267234596631206,0.9353931183510639,0.8856734818262413,0.8677482269503547,0.6436053856382979,0.8755035183953902,0.8740893727836879,0.8711544215425532
West China,CA125 only,0.3,0.9257435726950354,0.9348515070921986,0.8831842863475178,0.8660660460992909,0.6472224069148936,0.8736346132535462,0.8715537732712765,0.8693906527039007
West China,HE4 only,0.0,0.9291749778368795,0.9357546542553193,0.8864417109929081,0.8683787677304963,0.6416223404255321,0.8867464539007095,0.8786153590425534,0.8786846187943259
West China,HE4 only,0.1,0.9208439993351064,0.9357837433510638,0.8476543107269502,0.8679000443262411,0.6416223404255321,0.8766349457003545,0.8789615192819149,0.8828324468085106
West China,HE4 only,0.2,0.9044759807180851,0.9353465757978724,0.8302365913120566,0.865937777039007,0.6416223404255321,0.8448371010638297,0.8562245124113476,0.8604611314273051
West China,HE4 only,0.3,0.8937047041223404,0.9344617132092199,0.817063940602837,0.8610086990248226,0.6416223404255321,0.813723404255319,0.8331492409131207,0.8334694980053192
West China,Both markers,0.0,0.9291749778368795,0.9357546542553193,0.8864417109929081,0.8683787677304963,0.6416223404255321,0.8867464539007095,0.8786153590425534,0.8786846187943259
West China,Both markers,0.1,0.9180475675975177,0.9357014627659573,0.8469301307624114,0.8673805961879434,0.6405756870567376,0.8708710106382977,0.8762171708776598,0.8789913009751773
West China,Both markers,0.2,0.9014464206560284,0.9347913896276596,0.8287455673758867,0.8642306626773051,0.6424523492907801,0.8336552526595744,0.8507866522606383,0.8527381150265957
West China,Both markers,0.3,0.8896639516843972,0.9330158466312055,0.8137583111702127,0.8564854831560283,0.6470589539007092,0.8021906859485816,0.8272682568705675,0.8260534408244682
