Cohort,Noise,Scorecard,Raw LR,ROMA,XGBoost,CatBoost,Random Forest
Training (in-sample),0%,0.9119 (±0.000),0.8971 (±0.000),0.9122 (±0.000),1.0000 (±0.000),0.9911 (±0.000),1.0000 (±0.000)
Training (in-sample),5%,0.9099 (±0.004),0.8969 (±0.000),0.9107 (±0.002),0.9745 (±0.005),0.9706 (±0.004),0.9832 (±0.004)
Training (in-sample),10%,0.9067 (±0.005),0.8965 (±0.001),0.9073 (±0.005),0.9566 (±0.008),0.9548 (±0.007),0.9651 (±0.007)
Training (in-sample),15%,0.9047 (±0.005),0.8964 (±0.001),0.9040 (±0.007),0.9439 (±0.008),0.9432 (±0.008),0.9497 (±0.007)
Training (in-sample),20%,0.9025 (±0.006),0.8955 (±0.002),0.8993 (±0.008),0.9319 (±0.009),0.9333 (±0.009),0.9377 (±0.009)
Training (in-sample),25%,0.8998 (±0.007),0.8955 (±0.002),0.8946 (±0.009),0.9212 (±0.010),0.9234 (±0.011),0.9272 (±0.010)
Training (in-sample),30%,0.8949 (±0.008),0.8943 (±0.003),0.8873 (±0.011),0.9096 (±0.012),0.9153 (±0.012),0.9181 (±0.011)
West China,0%,0.9292 (±0.000),0.9358 (±0.000),0.8864 (±0.000),0.8867 (±0.000),0.8786 (±0.000),0.8787 (±0.000)
West China,5%,0.9276 (±0.002),0.9359 (±0.000),0.8653 (±0.007),0.8829 (±0.006),0.8810 (±0.003),0.8834 (±0.004)
West China,10%,0.9191 (±0.006),0.9357 (±0.001),0.8478 (±0.008),0.8719 (±0.009),0.8773 (±0.006),0.8794 (±0.007)
West China,15%,0.9079 (±0.008),0.9355 (±0.001),0.8356 (±0.011),0.8530 (±0.012),0.8654 (±0.011),0.8687 (±0.011)
West China,20%,0.9022 (±0.009),0.9353 (±0.002),0.8285 (±0.013),0.8354 (±0.014),0.8533 (±0.012),0.8555 (±0.012)
West China,25%,0.8979 (±0.010),0.9346 (±0.002),0.8223 (±0.012),0.8186 (±0.016),0.8403 (±0.015),0.8419 (±0.014)
West China,30%,0.8908 (±0.010),0.9335 (±0.003),0.8141 (±0.012),0.8040 (±0.018),0.8288 (±0.015),0.8278 (±0.015)
Japan,0%,0.8430 (±0.000),0.8036 (±0.000),0.7967 (±0.000),0.7340 (±0.000),0.7488 (±0.000),0.7923 (±0.000)
Japan,5%,0.8401 (±0.013),0.8024 (±0.003),0.7957 (±0.008),0.7398 (±0.018),0.7569 (±0.011),0.8080 (±0.021)
Japan,10%,0.8346 (±0.016),0.7981 (±0.006),0.7928 (±0.014),0.7349 (±0.024),0.7600 (±0.017),0.8004 (±0.026)
Japan,15%,0.8251 (±0.022),0.7943 (±0.009),0.7908 (±0.018),0.7317 (±0.030),0.7577 (±0.027),0.7979 (±0.034)
Japan,20%,0.8202 (±0.024),0.7895 (±0.010),0.7839 (±0.024),0.7158 (±0.034),0.7467 (±0.032),0.7826 (±0.040)
Japan,25%,0.8128 (±0.029),0.7839 (±0.017),0.7767 (±0.034),0.7071 (±0.040),0.7450 (±0.040),0.7807 (±0.045)
Japan,30%,0.8119 (±0.027),0.7767 (±0.020),0.7721 (±0.033),0.7049 (±0.038),0.7376 (±0.035),0.7677 (±0.039)
