repeat,model,cv_auroc_mean,cv_auroc_sd
0,Scorecard (3 bins),0.9070782979858609,0.02426958259753212
0,Argmax control (4 bins),0.9041621315192746,0.02271287911947028
0,Raw LR,0.890610777644391,0.018466430500734474
0,XGBoost (defaults),0.8823235961051086,0.01708500743510011
0,CatBoost (defaults),0.9014028277977857,0.023391904743957474
0,Random Forest (defaults),0.8956684673869549,0.022600842332839124
1,Scorecard (3 bins),0.9094913965586235,0.02797831405074562
1,Argmax control (4 bins),0.9153081232492998,0.03257060923064864
1,Raw LR,0.8966910764305723,0.03193298190692306
1,XGBoost (defaults),0.8837900493530746,0.028989775000864925
1,CatBoost (defaults),0.9146522609043617,0.03218732154079604
1,Random Forest (defaults),0.8973617446978792,0.029772366969136755
2,Scorecard (3 bins),0.9070223422702414,0.019596753033048926
2,Argmax control (4 bins),0.9160341469921303,0.011590967143879385
2,Raw LR,0.8910502867813792,0.016944537219379403
2,XGBoost (defaults),0.8935021341870082,0.012732435601653328
2,CatBoost (defaults),0.9020097372282245,0.020175820247214774
2,Random Forest (defaults),0.8981289182339603,0.020309275237368814
3,Scorecard (3 bins),0.9011374549819926,0.017543399437868944
3,Argmax control (4 bins),0.9020474189675871,0.020655561793103062
3,Raw LR,0.8940584233693476,0.038623676038798016
3,XGBoost (defaults),0.8852807122849139,0.030114039985507712
3,CatBoost (defaults),0.8986782713085233,0.033778047108837105
3,Random Forest (defaults),0.8936639322395624,0.04631722471690754
4,Scorecard (3 bins),0.9056608643457384,0.03462522885344566
4,Argmax control (4 bins),0.9142998532746432,0.03929018030752385
4,Raw LR,0.8945279445111376,0.045814270228685616
4,XGBoost (defaults),0.8845296118447379,0.04764650061847885
4,CatBoost (defaults),0.9000200080032013,0.041247113077861754
4,Random Forest (defaults),0.9033937575030013,0.04652293819921749
5,Scorecard (3 bins),0.9006463251967454,0.03348940912678715
5,Argmax control (4 bins),0.9113684807256236,0.03620491052726851
5,Raw LR,0.8926437241563292,0.04039422661425815
5,XGBoost (defaults),0.880043884220355,0.04062979326444211
5,CatBoost (defaults),0.9045359477124183,0.028534835068246084
5,Random Forest (defaults),0.9007365612911832,0.031355470301882626
6,Scorecard (3 bins),0.9099098305989062,0.034288451340780374
6,Argmax control (4 bins),0.9155333466720019,0.0334874263643823
6,Raw LR,0.8954615179405095,0.04015948057644458
6,XGBoost (defaults),0.8828520741629985,0.056817122504833194
6,CatBoost (defaults),0.8993031879418434,0.055176292769906606
6,Random Forest (defaults),0.8985740296118447,0.05842704312587606
7,Scorecard (3 bins),0.9050258103241298,0.03097596671221073
7,Argmax control (4 bins),0.9137725090036015,0.03834974818855113
7,Raw LR,0.8949050286781379,0.02361292817036998
7,XGBoost (defaults),0.8822868480725624,0.047199150879957685
7,CatBoost (defaults),0.897030945711618,0.03445462185785635
