Cutpoint,N referred,Sensitivity,Specificity,PPV,NPV,LR+,LR-
-7,380,1.0,0.0,0.495,,1.0,inf
-6,376,1.0,0.021,0.5,1.0,1.02,0.0
-5,363,0.995,0.083,0.515,0.941,1.09,0.06
-4,355,0.989,0.12,0.524,0.92,1.12,0.09
-3,325,0.973,0.26,0.563,0.909,1.32,0.1
-2,238,0.941,0.682,0.744,0.923,2.96,0.09
-1,223,0.915,0.734,0.771,0.898,3.44,0.12
0,170,0.83,0.927,0.918,0.848,11.38,0.18
1,146,0.75,0.974,0.966,0.799,28.8,0.26
3,88,0.463,0.995,0.989,0.654,88.85,0.54
5,43,0.229,1.0,1.0,0.57,inf,0.77
7,37,0.197,1.0,1.0,0.56,inf,0.8
9,17,0.09,1.0,1.0,0.529,inf,0.91
