n_train,shift,noise,drift,Model,Test AUROC mean,Test AUROC SD
100,0.0,0.0,0.0,Scorecard,0.9061,0.0079
100,0.0,0.0,0.0,Raw LR,0.8527,0.0173
100,0.0,0.0,0.0,XGBoost,0.8994,0.0115
100,0.0,0.0,0.0,CatBoost,0.9139,0.0092
100,0.0,0.0,0.0,Random Forest,0.9093,0.0094
100,0.0,0.0,1.0,Scorecard,0.8821,0.0097
100,0.0,0.0,1.0,Raw LR,0.8616,0.0258
100,0.0,0.0,1.0,XGBoost,0.8584,0.0162
100,0.0,0.0,1.0,CatBoost,0.8786,0.014
100,0.0,0.0,1.0,Random Forest,0.873,0.0118
100,0.0,0.5,0.0,Scorecard,0.8934,0.0115
100,0.0,0.5,0.0,Raw LR,0.8315,0.0339
100,0.0,0.5,0.0,XGBoost,0.8917,0.013
100,0.0,0.5,0.0,CatBoost,0.9056,0.0096
100,0.0,0.5,0.0,Random Forest,0.8997,0.0092
100,0.0,0.5,1.0,Scorecard,0.8821,0.0126
100,0.0,0.5,1.0,Raw LR,0.855,0.0347
100,0.0,0.5,1.0,XGBoost,0.8549,0.0229
100,0.0,0.5,1.0,CatBoost,0.8792,0.0167
100,0.0,0.5,1.0,Random Forest,0.8762,0.0154
100,0.5,0.0,0.0,Scorecard,0.8538,0.0274
100,0.5,0.0,0.0,Raw LR,0.7323,0.0296
100,0.5,0.0,0.0,XGBoost,0.8492,0.0265
100,0.5,0.0,0.0,CatBoost,0.8707,0.0249
100,0.5,0.0,0.0,Random Forest,0.8596,0.0263
100,0.5,0.0,1.0,Scorecard,0.8457,0.0143
100,0.5,0.0,1.0,Raw LR,0.7974,0.0555
100,0.5,0.0,1.0,XGBoost,0.8192,0.0207
100,0.5,0.0,1.0,CatBoost,0.8429,0.0174
100,0.5,0.0,1.0,Random Forest,0.8398,0.0184
100,0.5,0.5,0.0,Scorecard,0.8598,0.0162
100,0.5,0.5,0.0,Raw LR,0.7212,0.037
100,0.5,0.5,0.0,XGBoost,0.8637,0.0134
100,0.5,0.5,0.0,CatBoost,0.881,0.0099
100,0.5,0.5,0.0,Random Forest,0.8704,0.0132
100,0.5,0.5,1.0,Scorecard,0.8562,0.0122
100,0.5,0.5,1.0,Raw LR,0.8049,0.038
100,0.5,0.5,1.0,XGBoost,0.8345,0.0169
100,0.5,0.5,1.0,CatBoost,0.852,0.0158
100,0.5,0.5,1.0,Random Forest,0.8484,0.0185
100,1.0,0.0,0.0,Scorecard,0.8444,0.0195
100,1.0,0.0,0.0,Raw LR,0.6968,0.0371
100,1.0,0.0,0.0,XGBoost,0.8504,0.0238
100,1.0,0.0,0.0,CatBoost,0.8695,0.0161
100,1.0,0.0,0.0,Random Forest,0.8614,0.0149
100,1.0,0.0,1.0,Scorecard,0.8502,0.0174
100,1.0,0.0,1.0,Raw LR,0.8002,0.0486
100,1.0,0.0,1.0,XGBoost,0.8329,0.02
100,1.0,0.0,1.0,CatBoost,0.8526,0.0156
100,1.0,0.0,1.0,Random Forest,0.848,0.0185
100,1.0,0.5,0.0,Scorecard,0.8357,0.0235
100,1.0,0.5,0.0,Raw LR,0.6955,0.021
100,1.0,0.5,0.0,XGBoost,0.8492,0.0313
100,1.0,0.5,0.0,CatBoost,0.8639,0.0254
100,1.0,0.5,0.0,Random Forest,0.8532,0.0231
100,1.0,0.5,1.0,Scorecard,0.8752,0.0138
100,1.0,0.5,1.0,Raw LR,0.8073,0.0428
100,1.0,0.5,1.0,XGBoost,0.8498,0.0287
100,1.0,0.5,1.0,CatBoost,0.8645,0.022
100,1.0,0.5,1.0,Random Forest,0.8556,0.0291
200,0.0,0.0,0.0,Scorecard,0.9082,0.0084
200,0.0,0.0,0.0,Raw LR,0.8469,0.0164
200,0.0,0.0,0.0,XGBoost,0.8993,0.0087
200,0.0,0.0,0.0,CatBoost,0.9177,0.0065
200,0.0,0.0,0.0,Random Forest,0.9088,0.0077
200,0.0,0.0,1.0,Scorecard,0.8857,0.01
200,0.0,0.0,1.0,Raw LR,0.8532,0.0275
200,0.0,0.0,1.0,XGBoost,0.8593,0.0103
200,0.0,0.0,1.0,CatBoost,0.8805,0.0063
200,0.0,0.0,1.0,Random Forest,0.8749,0.0081
200,0.0,0.5,0.0,Scorecard,0.9031,0.0085
200,0.0,0.5,0.0,Raw LR,0.8254,0.0283
200,0.0,0.5,0.0,XGBoost,0.8989,0.0093
200,0.0,0.5,0.0,CatBoost,0.9158,0.0078
200,0.0,0.5,0.0,Random Forest,0.907,0.0103
200,0.0,0.5,1.0,Scorecard,0.8875,0.0081
200,0.0,0.5,1.0,Raw LR,0.8529,0.0221
200,0.0,0.5,1.0,XGBoost,0.8619,0.0192
200,0.0,0.5,1.0,CatBoost,0.8853,0.012
200,0.0,0.5,1.0,Random Forest,0.8785,0.0122
200,0.5,0.0,0.0,Scorecard,0.8725,0.0103
200,0.5,0.0,0.0,Raw LR,0.7443,0.0332
200,0.5,0.0,0.0,XGBoost,0.872,0.0146
200,0.5,0.0,0.0,CatBoost,0.893,0.0106
200,0.5,0.0,0.0,Random Forest,0.8827,0.0112
200,0.5,0.0,1.0,Scorecard,0.8449,0.0137
200,0.5,0.0,1.0,Raw LR,0.7864,0.0286
200,0.5,0.0,1.0,XGBoost,0.8238,0.0171
200,0.5,0.0,1.0,CatBoost,0.843,0.0127
200,0.5,0.0,1.0,Random Forest,0.8363,0.0129
200,0.5,0.5,0.0,Scorecard,0.8653,0.0151
200,0.5,0.5,0.0,Raw LR,0.7468,0.0277
200,0.5,0.5,0.0,XGBoost,0.8719,0.0202
200,0.5,0.5,0.0,CatBoost,0.8883,0.0174
200,0.5,0.5,0.0,Random Forest,0.8793,0.0178
200,0.5,0.5,1.0,Scorecard,0.8592,0.0096
200,0.5,0.5,1.0,Raw LR,0.8243,0.0357
200,0.5,0.5,1.0,XGBoost,0.8337,0.0185
200,0.5,0.5,1.0,CatBoost,0.8552,0.017
200,0.5,0.5,1.0,Random Forest,0.8465,0.0181
200,1.0,0.0,0.0,Scorecard,0.8559,0.0143
200,1.0,0.0,0.0,Raw LR,0.7002,0.036
200,1.0,0.0,0.0,XGBoost,0.8675,0.0207
200,1.0,0.0,0.0,CatBoost,0.883,0.0149
200,1.0,0.0,0.0,Random Forest,0.8741,0.012
200,1.0,0.0,1.0,Scorecard,0.8556,0.0088
200,1.0,0.0,1.0,Raw LR,0.8052,0.0347
200,1.0,0.0,1.0,XGBoost,0.8327,0.0244
200,1.0,0.0,1.0,CatBoost,0.8535,0.0174
200,1.0,0.0,1.0,Random Forest,0.8431,0.0223
200,1.0,0.5,0.0,Scorecard,0.8442,0.0155
200,1.0,0.5,0.0,Raw LR,0.7004,0.0254
200,1.0,0.5,0.0,XGBoost,0.8639,0.0162
200,1.0,0.5,0.0,CatBoost,0.8747,0.0156
200,1.0,0.5,0.0,Random Forest,0.8681,0.0142
200,1.0,0.5,1.0,Scorecard,0.8749,0.0119
200,1.0,0.5,1.0,Raw LR,0.8242,0.0456
200,1.0,0.5,1.0,XGBoost,0.8482,0.0138
200,1.0,0.5,1.0,CatBoost,0.8678,0.0143
200,1.0,0.5,1.0,Random Forest,0.8562,0.0174
400,0.0,0.0,0.0,Scorecard,0.9137,0.0055
400,0.0,0.0,0.0,Raw LR,0.8479,0.0218
400,0.0,0.0,0.0,XGBoost,0.9022,0.0094
400,0.0,0.0,0.0,CatBoost,0.9212,0.0073
400,0.0,0.0,0.0,Random Forest,0.9116,0.0078
400,0.0,0.0,1.0,Scorecard,0.8868,0.0075
400,0.0,0.0,1.0,Raw LR,0.8696,0.009
400,0.0,0.0,1.0,XGBoost,0.859,0.0109
400,0.0,0.0,1.0,CatBoost,0.8809,0.0105
400,0.0,0.0,1.0,Random Forest,0.8727,0.0107
400,0.0,0.5,0.0,Scorecard,0.9066,0.0064
400,0.0,0.5,0.0,Raw LR,0.8384,0.016
400,0.0,0.5,0.0,XGBoost,0.9042,0.007
400,0.0,0.5,0.0,CatBoost,0.9214,0.0055
400,0.0,0.5,0.0,Random Forest,0.9129,0.0059
400,0.0,0.5,1.0,Scorecard,0.8879,0.0075
400,0.0,0.5,1.0,Raw LR,0.863,0.0186
400,0.0,0.5,1.0,XGBoost,0.8655,0.013
400,0.0,0.5,1.0,CatBoost,0.8854,0.0108
400,0.0,0.5,1.0,Random Forest,0.8778,0.01
400,0.5,0.0,0.0,Scorecard,0.8802,0.0073
400,0.5,0.0,0.0,Raw LR,0.7386,0.0312
400,0.5,0.0,0.0,XGBoost,0.8811,0.0093
400,0.5,0.0,0.0,CatBoost,0.9031,0.0069
400,0.5,0.0,0.0,Random Forest,0.8908,0.0092
400,0.5,0.0,1.0,Scorecard,0.8463,0.0097
400,0.5,0.0,1.0,Raw LR,0.8141,0.0332
400,0.5,0.0,1.0,XGBoost,0.826,0.0154
400,0.5,0.0,1.0,CatBoost,0.8483,0.012
400,0.5,0.0,1.0,Random Forest,0.8383,0.0108
400,0.5,0.5,0.0,Scorecard,0.8744,0.0099
400,0.5,0.5,0.0,Raw LR,0.7424,0.0254
400,0.5,0.5,0.0,XGBoost,0.8843,0.0114
400,0.5,0.5,0.0,CatBoost,0.9013,0.0104
400,0.5,0.5,0.0,Random Forest,0.8911,0.0099
400,0.5,0.5,1.0,Scorecard,0.8643,0.0094
400,0.5,0.5,1.0,Raw LR,0.8167,0.0398
400,0.5,0.5,1.0,XGBoost,0.8298,0.0175
400,0.5,0.5,1.0,CatBoost,0.8532,0.013
400,0.5,0.5,1.0,Random Forest,0.8417,0.0132
400,1.0,0.0,0.0,Scorecard,0.8549,0.0089
400,1.0,0.0,0.0,Raw LR,0.7055,0.0288
400,1.0,0.0,0.0,XGBoost,0.8766,0.0138
400,1.0,0.0,0.0,CatBoost,0.8912,0.0119
400,1.0,0.0,0.0,Random Forest,0.8814,0.0125
400,1.0,0.0,1.0,Scorecard,0.86,0.0069
400,1.0,0.0,1.0,Raw LR,0.7946,0.0291
400,1.0,0.0,1.0,XGBoost,0.8402,0.0155
400,1.0,0.0,1.0,CatBoost,0.8599,0.0104
400,1.0,0.0,1.0,Random Forest,0.8482,0.0139
400,1.0,0.5,0.0,Scorecard,0.8429,0.0111
400,1.0,0.5,0.0,Raw LR,0.7016,0.0291
400,1.0,0.5,0.0,XGBoost,0.8793,0.0154
400,1.0,0.5,0.0,CatBoost,0.8898,0.0128
400,1.0,0.5,0.0,Random Forest,0.8847,0.0165
400,1.0,0.5,1.0,Scorecard,0.8775,0.0078
400,1.0,0.5,1.0,Raw LR,0.8193,0.0406
400,1.0,0.5,1.0,XGBoost,0.8482,0.0144
400,1.0,0.5,1.0,CatBoost,0.8667,0.0138
400,1.0,0.5,1.0,Random Forest,0.8527,0.0178
800,0.0,0.0,0.0,Scorecard,0.9125,0.0063
800,0.0,0.0,0.0,Raw LR,0.8488,0.0172
800,0.0,0.0,0.0,XGBoost,0.9055,0.0066
800,0.0,0.0,0.0,CatBoost,0.9239,0.0051
800,0.0,0.0,0.0,Random Forest,0.9145,0.0064
800,0.0,0.0,1.0,Scorecard,0.8909,0.007
800,0.0,0.0,1.0,Raw LR,0.8647,0.0153
800,0.0,0.0,1.0,XGBoost,0.8666,0.009
800,0.0,0.0,1.0,CatBoost,0.8862,0.0088
800,0.0,0.0,1.0,Random Forest,0.8774,0.0076
800,0.0,0.5,0.0,Scorecard,0.9078,0.0077
800,0.0,0.5,0.0,Raw LR,0.8399,0.0213
800,0.0,0.5,0.0,XGBoost,0.9065,0.0078
800,0.0,0.5,0.0,CatBoost,0.9234,0.0066
800,0.0,0.5,0.0,Random Forest,0.9139,0.0061
800,0.0,0.5,1.0,Scorecard,0.8909,0.0049
800,0.0,0.5,1.0,Raw LR,0.8654,0.0144
800,0.0,0.5,1.0,XGBoost,0.8679,0.0098
800,0.0,0.5,1.0,CatBoost,0.8856,0.0089
800,0.0,0.5,1.0,Random Forest,0.8763,0.0096
800,0.5,0.0,0.0,Scorecard,0.8781,0.0058
800,0.5,0.0,0.0,Raw LR,0.7373,0.0262
800,0.5,0.0,0.0,XGBoost,0.8862,0.0099
800,0.5,0.0,0.0,CatBoost,0.9069,0.0075
800,0.5,0.0,0.0,Random Forest,0.8954,0.0068
800,0.5,0.0,1.0,Scorecard,0.8481,0.0063
800,0.5,0.0,1.0,Raw LR,0.8022,0.0288
800,0.5,0.0,1.0,XGBoost,0.825,0.0139
800,0.5,0.0,1.0,CatBoost,0.8444,0.0128
800,0.5,0.0,1.0,Random Forest,0.8357,0.0102
800,0.5,0.5,0.0,Scorecard,0.8761,0.0092
800,0.5,0.5,0.0,Raw LR,0.7415,0.0285
800,0.5,0.5,0.0,XGBoost,0.8949,0.0073
800,0.5,0.5,0.0,CatBoost,0.9079,0.0065
800,0.5,0.5,0.0,Random Forest,0.8992,0.0077
800,0.5,0.5,1.0,Scorecard,0.8666,0.0085
800,0.5,0.5,1.0,Raw LR,0.8283,0.0318
800,0.5,0.5,1.0,XGBoost,0.8335,0.0142
800,0.5,0.5,1.0,CatBoost,0.8544,0.0098
