model,cv,west,japan,n_estimators,max_depth,learning_rate,iterations,depth,min_samples_leaf
XGBoost,0.9042779778578097,0.8895445478723404,0.8385185185185184,100.0,3.0,0.03,,,
XGBoost,0.8923740162731759,,,100.0,3.0,0.1,,,
XGBoost,0.887360277444311,,,100.0,3.0,0.3,,,
XGBoost,0.8878135921035082,,,100.0,6.0,0.03,,,
XGBoost,0.8887225556889422,,,100.0,6.0,0.1,,,
XGBoost,0.8832762438308656,,,100.0,6.0,0.3,,,
XGBoost,0.8843940242763771,,,100.0,10.0,0.03,,,
XGBoost,0.8834805922368947,,,100.0,10.0,0.1,,,
XGBoost,0.885250633586768,,,100.0,10.0,0.3,,,
XGBoost,0.8931275176737362,,,300.0,3.0,0.03,,,
XGBoost,0.8869886621315193,,,300.0,3.0,0.1,,,
XGBoost,0.8869673202614379,,,300.0,3.0,0.3,,,
XGBoost,0.8889083633453382,,,300.0,6.0,0.03,,,
XGBoost,0.8813262638388689,,,300.0,6.0,0.1,,,
XGBoost,0.8843825530212085,,,300.0,6.0,0.3,,,
XGBoost,0.8869386421235161,,,300.0,10.0,0.03,,,
XGBoost,0.883126984126984,,,300.0,10.0,0.1,,,
XGBoost,0.8842278244631185,,,300.0,10.0,0.3,,,
XGBoost,0.8889191009737228,,,500.0,3.0,0.03,,,
XGBoost,0.8856909430438844,,,500.0,3.0,0.1,,,
XGBoost,0.8851519274376418,,,500.0,3.0,0.3,,,
XGBoost,0.8852581032412965,,,500.0,6.0,0.03,,,
XGBoost,0.8823158596772043,,,500.0,6.0,0.1,,,
XGBoost,0.8840173402694411,,,500.0,6.0,0.3,,,
XGBoost,0.886579965319461,,,500.0,10.0,0.03,,,
XGBoost,0.8834343070561559,,,500.0,10.0,0.1,,,
XGBoost,0.8850444177671069,,,500.0,10.0,0.3,,,
CatBoost,0.8982893157262906,0.8765652703900708,0.7709876543209877,,,0.03,500.0,4.0,
CatBoost,0.8916618647458984,,,,,0.1,500.0,4.0,
CatBoost,0.8879587835134053,,,,,0.3,500.0,4.0,
CatBoost,0.8967396291850074,,,,,0.03,500.0,6.0,
CatBoost,0.8938802187541682,,,,,0.1,500.0,6.0,
CatBoost,0.8939459783913565,,,,,0.3,500.0,6.0,
CatBoost,0.8911536614645857,,,,,0.03,500.0,10.0,
CatBoost,0.889655328798186,,,,,0.1,500.0,10.0,
CatBoost,0.8916069094304389,,,,,0.3,500.0,10.0,
CatBoost,0.8934876617313592,,,,,0.03,1000.0,4.0,
CatBoost,0.8924421768707482,,,,,0.1,1000.0,4.0,
CatBoost,0.8876323862878485,,,,,0.3,1000.0,4.0,
CatBoost,0.8947368280645591,,,,,0.03,1000.0,6.0,
CatBoost,0.8922558356676003,,,,,0.1,1000.0,6.0,
CatBoost,0.8944315059357075,,,,,0.3,1000.0,6.0,
CatBoost,0.8921447245564892,,,,,0.03,1000.0,10.0,
CatBoost,0.8917976523942912,,,,,0.1,1000.0,10.0,
CatBoost,0.8924284380418834,,,,,0.3,1000.0,10.0,
CatBoost,0.8947761771375216,,,,,0.03,1500.0,4.0,
CatBoost,0.8921252501000401,,,,,0.1,1500.0,4.0,
CatBoost,0.8882859810590903,,,,,0.3,1500.0,4.0,
CatBoost,0.894546218487395,,,,,0.03,1500.0,6.0,
CatBoost,0.8925967720421502,,,,,0.1,1500.0,6.0,
CatBoost,0.8937828464719221,,,,,0.3,1500.0,6.0,
CatBoost,0.8918175270108042,,,,,0.03,1500.0,10.0,
CatBoost,0.8916394557823129,,,,,0.1,1500.0,10.0,
CatBoost,0.8930913698812859,,,,,0.3,1500.0,10.0,
RandomForest,0.8954408430038683,,,100.0,,,,,1.0
RandomForest,0.8961857409630518,,,100.0,,,,,2.0
RandomForest,0.89590589569161,,,100.0,,,,,4.0
RandomForest,0.897764839269041,,,100.0,6.0,,,,1.0
RandomForest,0.8956569961317861,,,100.0,6.0,,,,2.0
RandomForest,0.899139322395625,,,100.0,6.0,,,,4.0
RandomForest,0.8940331465919702,,,100.0,10.0,,,,1.0
RandomForest,0.8961172468987595,,,100.0,10.0,,,,2.0
RandomForest,0.8962278911564626,,,100.0,10.0,,,,4.0
RandomForest,0.8941594637855141,,,500.0,,,,,1.0
RandomForest,0.8973618113912233,,,500.0,,,,,2.0
RandomForest,0.8980302120848339,,,500.0,,,,,4.0
RandomForest,0.8996487261571297,,,500.0,6.0,,,,1.0
RandomForest,0.9016088435374151,0.8940602836879433,0.8169135802469135,500.0,6.0,,,,2.0
RandomForest,0.8991495931706016,,,500.0,6.0,,,,4.0
RandomForest,0.8943736828064559,,,500.0,10.0,,,,1.0
RandomForest,0.8968714819261038,,,500.0,10.0,,,,2.0
RandomForest,0.8981934773909565,,,500.0,10.0,,,,4.0
RandomForest,0.8944861944777912,,,1000.0,,,,,1.0
RandomForest,0.8969349072962519,,,1000.0,,,,,2.0
RandomForest,0.897607442977191,,,1000.0,,,,,4.0
RandomForest,0.8972563692143524,,,1000.0,6.0,,,,1.0
RandomForest,0.8993800186741364,,,1000.0,6.0,,,,2.0
RandomForest,0.8986503267973855,,,1000.0,6.0,,,,4.0
RandomForest,0.8949883953581432,,,1000.0,10.0,,,,1.0
RandomForest,0.8963766173135921,,,1000.0,10.0,,,,2.0
RandomForest,0.8980977724423103,,,1000.0,10.0,,,,4.0
